sku,product_name,warehouse,stock_level,reorder_point,supplier,cost_price,last_updated
SKU_000162,Widget B,WH_001,616,52,Supplier_4,281.32,2025-07-01 12:06:46.324045
SKU_000163,Tool Y,WH_004,604,93,Supplier_14,53.33,2025-06-30 14:06:46.324047
SKU_000164,Widget A,WH_004,600,37,Supplier_9,360.41,2025-07-03 03:06:46.324050
SKU_000165,Gadget X,WH_001,442,58,Supplier_11,461.13,2025-06-30 11:06:46.324053
SKU_000166,Device Z,WH_004,162,70,Supplier_16,85.24,2025-06-26 18:06:46.324056
SKU_000167,Widget A,WH_004,37,46,Supplier_6,238.11,2025-07-02 11:06:46.324058
SKU_000168,Gadget X,WH_004,91,12,Supplier_12,370.69,2025-06-29 20:06:46.324061
SKU_000169,Widget A,WH_001,630,18,Supplier_19,146.99,2025-06-26 11:06:46.324064
SKU_000170,Device Z,WH_001,722,95,Supplier_16,460.78,2025-06-29 03:06:46.324066
SKU_000171,Tool Y,WH_002,671,98,Supplier_13,444.79,2025-06-30 23:06:46.324069
SKU_000172,Tool Y,WH_001,100,11,Supplier_4,56.36,2025-06-26 20:06:46.324072
SKU_000173,Tool Y,WH_004,880,32,Supplier_12,18.56,2025-06-28 19:06:46.324075
SKU_000174,Widget A,WH_001,506,60,Supplier_4,488.35,2025-06-27 14:06:46.324078
SKU_000175,Device Z,WH_004,178,26,Supplier_17,478.46,2025-06-29 19:06:46.324080
SKU_000176,Widget B,WH_004,283,34,Supplier_14,214.03,2025-06-30 21:06:46.324083
SKU_000177,Widget B,WH_004,951,85,Supplier_17,30.03,2025-06-26 10:06:46.324086
SKU_000178,Tool Y,WH_001,354,36,Supplier_1,311.34,2025-06-27 19:06:46.324089
SKU_000179,Widget A,WH_004,903,29,Supplier_1,150.24,2025-07-02 03:06:46.324091
SKU_000180,Widget B,WH_002,296,82,Supplier_2,468.68,2025-06-28 22:06:46.324094
SKU_000181,Widget A,WH_003,885,96,Supplier_17,398.36,2025-06-28 00:06:46.324097
SKU_000182,Device Z,WH_003,534,45,Supplier_1,326.55,2025-06-29 19:06:46.324099
SKU_000183,Tool Y,WH_002,949,37,Supplier_12,145.83,2025-07-03 00:06:46.324102
SKU_000184,Gadget X,WH_003,487,38,Supplier_13,352.13,2025-06-27 17:06:46.324105
SKU_000185,Tool Y,WH_002,278,51,Supplier_14,148.14,2025-07-01 23:06:46.324108
SKU_000186,Gadget X,WH_001,543,67,Supplier_10,23.63,2025-06-27 17:06:46.324110
SKU_000187,Widget B,WH_003,649,41,Supplier_12,256.68,2025-06-27 13:06:46.324113
SKU_000188,Gadget X,WH_002,592,21,Supplier_18,246.9,2025-07-01 14:06:46.324116
SKU_000189,Widget A,WH_002,930,39,Supplier_7,382.69,2025-06-29 00:06:46.324118
SKU_000190,Gadget X,WH_004,354,69,Supplier_19,433.51,2025-07-01 01:06:46.324121
SKU_000191,Widget B,WH_001,318,20,Supplier_15,180.46,2025-07-02 02:06:46.324124
SKU_000192,Widget B,WH_002,194,93,Supplier_7,227.49,2025-06-26 16:06:46.324126
SKU_000193,Tool Y,WH_003,803,20,Supplier_14,237.85,2025-07-02 14:06:46.324129
SKU_000194,Widget B,WH_004,92,89,Supplier_9,165.49,2025-06-28 16:06:46.324132
SKU_000195,Widget A,WH_004,432,59,Supplier_5,372.98,2025-07-03 05:06:46.324135
SKU_000196,Gadget X,WH_004,557,10,Supplier_1,263.44,2025-07-02 21:06:46.324137
SKU_000197,Device Z,WH_001,26,98,Supplier_16,457.41,2025-06-29 21:06:46.324140
SKU_000198,Widget B,WH_002,414,36,Supplier_5,326.9,2025-06-29 01:06:46.324143
SKU_000199,Gadget X,WH_001,161,41,Supplier_8,109.89,2025-06-26 21:06:46.324145
SKU_000200,Tool Y,WH_002,843,15,Supplier_19,86.58,2025-06-30 23:06:46.324148
SKU_000201,Device Z,WH_004,100,50,Supplier_12,189.33,2025-07-01 09:06:46.324151
SKU_000202,Tool Y,WH_003,698,45,Supplier_8,176.73,2025-06-28 09:06:46.324154
SKU_000203,Widget A,WH_003,949,48,Supplier_8,206.53,2025-06-28 05:06:46.324156
SKU_000204,Tool Y,WH_001,472,96,Supplier_6,95.88,2025-07-03 08:06:46.324159
SKU_000205,Gadget X,WH_004,705,39,Supplier_9,489.22,2025-06-29 00:06:46.324162
SKU_000206,Device Z,WH_002,157,95,Supplier_2,77.13,2025-07-01 13:06:46.324164
SKU_000207,Tool Y,WH_001,491,66,Supplier_18,328.06,2025-06-30 18:06:46.324167
SKU_000208,Tool Y,WH_004,968,20,Supplier_1,11.47,2025-06-29 10:06:46.324170
SKU_000209,Widget A,WH_001,918,99,Supplier_11,206.45,2025-07-01 19:06:46.324173
SKU_000210,Gadget X,WH_003,8,96,Supplier_15,158.05,2025-07-03 00:06:46.324175
SKU_000211,Tool Y,WH_004,211,12,Supplier_12,194.1,2025-07-03 03:06:46.324178
SKU_000212,Gadget X,WH_001,438,57,Supplier_3,251.55,2025-06-30 11:06:46.324181
SKU_000213,Widget B,WH_002,896,15,Supplier_19,302.19,2025-07-01 05:06:46.324183
SKU_000214,Widget A,WH_003,823,16,Supplier_19,293.84,2025-06-30 14:06:46.324186
SKU_000215,Widget A,WH_002,678,53,Supplier_10,317.2,2025-06-29 09:06:46.324189
SKU_000216,Widget A,WH_001,854,70,Supplier_16,423.05,2025-06-29 06:06:46.324191
SKU_000217,Gadget X,WH_004,785,63,Supplier_6,443.92,2025-06-27 09:06:46.324194
SKU_000218,Tool Y,WH_003,809,60,Supplier_9,369.94,2025-06-27 23:06:46.324197
SKU_000219,Tool Y,WH_002,991,95,Supplier_8,44.08,2025-07-01 21:06:46.324199
SKU_000220,Gadget X,WH_002,110,57,Supplier_16,480.84,2025-06-29 00:06:46.324202
SKU_000221,Gadget X,WH_004,840,70,Supplier_8,473.96,2025-07-01 22:06:46.324205
SKU_000222,Widget B,WH_001,202,49,Supplier_18,357.29,2025-06-28 09:06:46.324208
SKU_000223,Device Z,WH_002,759,12,Supplier_5,261.13,2025-07-02 03:06:46.324211
SKU_000224,Device Z,WH_001,64,39,Supplier_12,129.06,2025-06-29 12:06:46.324214
SKU_000225,Widget A,WH_001,714,33,Supplier_6,379.39,2025-06-28 00:06:46.324216
SKU_000226,Tool Y,WH_001,160,76,Supplier_2,439.54,2025-06-29 00:06:46.324219
SKU_000227,Widget A,WH_004,413,11,Supplier_4,334.27,2025-06-29 05:06:46.324222
SKU_000228,Tool Y,WH_001,644,53,Supplier_16,316.39,2025-06-29 02:06:46.324225
SKU_000229,Tool Y,WH_003,689,49,Supplier_14,100.54,2025-07-02 02:06:46.324228
SKU_000230,Widget B,WH_004,704,28,Supplier_17,182.11,2025-07-02 08:06:46.324230
SKU_000231,Gadget X,WH_002,265,72,Supplier_19,362.95,2025-07-01 10:06:46.324233
SKU_000232,Gadget X,WH_004,571,33,Supplier_4,13.36,2025-07-03 08:06:46.324236
SKU_000233,Gadget X,WH_002,204,59,Supplier_18,322.43,2025-06-29 03:06:46.324239
SKU_000234,Device Z,WH_003,666,29,Supplier_12,384.5,2025-06-28 11:06:46.324242
SKU_000235,Gadget X,WH_001,583,66,Supplier_2,170.68,2025-06-26 12:06:46.324244
SKU_000236,Device Z,WH_001,155,59,Supplier_6,42.7,2025-06-28 16:06:46.324247
SKU_000237,Widget A,WH_001,172,67,Supplier_6,410.46,2025-06-27 13:06:46.324250
SKU_000238,Device Z,WH_001,307,40,Supplier_3,75.21,2025-07-02 13:06:46.324253
SKU_000239,Tool Y,WH_004,449,46,Supplier_8,188.55,2025-07-02 03:06:46.324255
SKU_000240,Widget B,WH_003,61,13,Supplier_12,355.09,2025-06-30 02:06:46.324258
SKU_000241,Widget B,WH_002,372,67,Supplier_3,409.41,2025-06-28 01:06:46.324261
SKU_000242,Tool Y,WH_004,459,19,Supplier_2,431.88,2025-06-29 20:06:46.324263
SKU_000243,Widget A,WH_001,474,72,Supplier_1,267.56,2025-06-30 17:06:46.324266
SKU_000244,Widget B,WH_001,380,45,Supplier_18,240.56,2025-07-02 15:06:46.324269
SKU_000245,Tool Y,WH_001,716,64,Supplier_18,424.92,2025-07-02 01:06:46.324271
SKU_000246,Widget B,WH_002,571,66,Supplier_8,283.72,2025-06-27 06:06:46.324274
SKU_000247,Device Z,WH_002,85,94,Supplier_14,291.43,2025-06-29 11:06:46.324277
SKU_000248,Widget B,WH_004,935,52,Supplier_13,219.82,2025-07-02 00:06:46.324279
SKU_000249,Device Z,WH_003,142,74,Supplier_15,189.54,2025-06-27 03:06:46.324282
SKU_000250,Device Z,WH_002,862,21,Supplier_15,242.87,2025-06-28 20:06:46.324285
SKU_000251,Widget B,WH_004,6,71,Supplier_13,185.6,2025-06-26 20:06:46.324288
SKU_000252,Widget B,WH_002,294,33,Supplier_4,175.06,2025-07-03 05:06:46.324290
SKU_000253,Device Z,WH_004,690,11,Supplier_4,496.86,2025-06-29 05:06:46.324293
SKU_000254,Widget B,WH_001,738,56,Supplier_5,171.43,2025-06-28 07:06:46.324296
SKU_000255,Widget A,WH_002,518,65,Supplier_3,131.91,2025-06-27 21:06:46.324298
SKU_000256,Gadget X,WH_001,651,93,Supplier_12,180.19,2025-07-03 04:06:46.324301
SKU_000257,Gadget X,WH_003,525,25,Supplier_12,297.44,2025-06-26 10:06:46.324304
SKU_000258,Tool Y,WH_001,33,43,Supplier_7,455.94,2025-07-01 00:06:46.324307
SKU_000259,Gadget X,WH_003,889,86,Supplier_7,394.99,2025-07-02 02:06:46.324309
SKU_000260,Widget A,WH_002,934,27,Supplier_1,421.91,2025-07-03 02:06:46.324312
SKU_000261,Gadget X,WH_003,751,38,Supplier_12,430.21,2025-07-02 21:06:46.324315
SKU_000262,Gadget X,WH_001,328,63,Supplier_3,460.66,2025-07-02 23:06:46.324317
SKU_000263,Widget A,WH_002,831,60,Supplier_15,121.36,2025-06-26 20:06:46.324320
SKU_000264,Device Z,WH_004,608,23,Supplier_9,231.89,2025-06-27 12:06:46.324323
SKU_000265,Gadget X,WH_002,779,67,Supplier_9,195.67,2025-06-28 02:06:46.324326
SKU_000266,Tool Y,WH_004,637,44,Supplier_14,194.03,2025-06-26 18:06:46.324328
SKU_000267,Gadget X,WH_001,33,18,Supplier_3,327.88,2025-06-27 16:06:46.324331
SKU_000268,Gadget X,WH_002,794,46,Supplier_8,203.89,2025-06-29 17:06:46.324334
SKU_000269,Widget A,WH_004,405,21,Supplier_6,310.08,2025-06-27 09:06:46.324337
SKU_000270,Widget A,WH_001,17,94,Supplier_12,194.23,2025-07-02 22:06:46.324340
SKU_000271,Tool Y,WH_003,429,91,Supplier_2,159.01,2025-06-26 13:06:46.324342
SKU_000272,Widget B,WH_004,427,20,Supplier_3,179.77,2025-07-03 08:06:46.324345
SKU_000273,Widget A,WH_003,913,36,Supplier_14,402.86,2025-07-02 12:06:46.324348
SKU_000274,Widget B,WH_002,292,97,Supplier_17,302.52,2025-06-29 05:06:46.324350
SKU_000275,Tool Y,WH_004,902,52,Supplier_3,487.13,2025-06-26 12:06:46.324353
SKU_000276,Gadget X,WH_001,579,59,Supplier_4,417.16,2025-07-03 03:06:46.324356
SKU_000277,Gadget X,WH_001,748,29,Supplier_15,245.46,2025-06-27 11:06:46.324359
SKU_000278,Widget B,WH_003,79,22,Supplier_7,124.98,2025-06-29 12:06:46.324361
SKU_000279,Tool Y,WH_001,85,56,Supplier_19,338.59,2025-06-28 00:06:46.324364
SKU_000280,Tool Y,WH_002,571,17,Supplier_14,364.69,2025-06-27 17:06:46.324367
SKU_000281,Widget A,WH_002,47,78,Supplier_16,234.77,2025-06-28 18:06:46.324369
SKU_000282,Widget B,WH_003,690,80,Supplier_13,118.81,2025-07-01 13:06:46.324372
SKU_000283,Widget A,WH_004,867,73,Supplier_17,280.83,2025-06-28 06:06:46.324375
SKU_000284,Widget B,WH_001,83,53,Supplier_17,130.65,2025-06-29 18:06:46.324378
SKU_000285,Widget A,WH_002,606,21,Supplier_10,470.3,2025-06-29 02:06:46.324380
SKU_000286,Widget A,WH_004,307,13,Supplier_7,316.3,2025-06-29 00:06:46.324383
SKU_000287,Tool Y,WH_002,251,49,Supplier_17,149.51,2025-06-30 06:06:46.324386
